id;description;DBO
861943053844119;Besser als auf sone drecks Veranstaltung zu gehen lieber Thomas Kaline;nothing
1012568078781615;Roland Kauß Ist mir nicht peinlich, wüßte nicht warum das peinlich sein sollte? Bei Penny hat man den Schokoladen Weihnachtsmann auch wegen der Muslime zum Zipfelmann umbenannt. Ein landesweiter Trend. Es hat den Anschein das die Deutschen in die Arabische Kultur integriert werden sollen weil sie anscheinend keine eigene haben!?;nothing
1152526151452473;Ich auch....im Moment rennen sie ja alle wie verrückt umher um Spenden zu sammeln.....wo das ganze Geld wohl hingeht????;nothing
1134073499964405;Klar bimbo nach dem Wahlsieg trumps;nothing
862087190496372;Karla,wir lieben dich??...;nothing
962747137097043;Vollkommen  richtig mal was gutes  zwischen  durch;nothing
855036664534758;"Eilmeldung !!! Erste Schulung der Antifa erfolgreich bestanden. Herbert Kloppemeyer auf dem Weg nach Dresden!

http://www.youtube.com/watch?v=_jehw4kM_jc&feature=youtube_gdata_player";nothing
1064359020269187;Wenn wir EIN Volk wären, würden wir im Westen den Osten unterstützen. Aber nein.....;nothing
991504700887953;Die deutschen müssen zusammen halten!!!;nothing
1111481958890226;"Oh Mann, fordern, fordern, jammern, beschweren, immer das gleiche

Verpisst euch, ihr Wirtschaftsmigranten!";nothing
935302986508125;"Wäre doch schön wenn jetzt auch noch Sven Lau verschwindet.....Warum sind Vogel und Lau nicht in Syrien und kämpfen ""für Allah"" ? Dann könnte man sich auf die natürliche Auslese verlassen";nothing
982711621767261;So sieht es bei uns auch bald aus wenn nicht etwas passiert.;nothing
855054597866298;Never surrender auf gehts schwarz rot geil !!!!!!!!:);nothing
1095904237114665;"Bin mal gespannt wie lange es noch dauert und wir solche Szenen von deutschen Autobahnen zu sehen bekommen. Wenn unsere ""neuen Mitbürger"" nicht die versprochenen Häuser, Autos und 2000€ Taschengeld pro Monat bekommen, ist es nur noch eine Frage der Zeit bis wir diese aufgebrachten ""traumatisierten Facharbeiter"" wütend und protestierend vor unserer Haustüre sehen werden...";criticism
876347179070373;"Willst du mir jetzt ernsthaft erzählen, dass JEDER Arbeitslose in Deutschland ein besseres Leben führt als ein Arbeitnehmer?! Du verbreitest hier Halb- und Unwahrheiten, da zieht es einem die Schuhe aus! 

Beispiel 1: Ein ALG II-Empfänger muss nach Erhalt seiner Betriebskostenabrechnung diese beim Amt vorlegen. Hat er ein Guthaben, wird es ihm weggenommen. Hat er eine Nachzahlung zu leisten, muss es dies aus der eigenen Tasche zahlen und dies wird ihm monatlich von den Leistungen abgezogen. 

Beispiel 2: Da hätte DIR eigentlich der Denkfehler in dieser Milchmädchenrechnung schon sofort auffallen müssen... Der ALG II-Empfänger bekommt monatlich 399 Euro und zahlt davon Essen, Trinken, Kosmetik, Telefon, Internet, evtl. Versicherungen, Strom etc.! Diese Summe gibt der Arbeitnehmer in deiner Rechnung nur für Essen, Trinken und Kosmetik aus! 400 Euro (!!!) für Essen, Trinken und Kosmetik o.Ó Merkst du was?!

Der Arbeitnehmer ist zudem weiterhin rentenversichert, was der ALG II-Empfänger NICHT ist.

Das ist alles nur Mainstream-Gelaber, was du da gepostet hast. Glaub mal ja nicht, das du mit Hartz IV ein fettes Leben führen kannst!  Alle, wirklich ALLE haben nach diesen Scheiß-Mindestlohn geschrien, jetzt haben sie ihn und nun wird sich wieder über die Hartz IV-Empfänger aufgeregt und lustig gemacht. Schwingt eure Keulen nach oben und nicht nach unten!";nothing
945911635447260;Ihr habt doch den knall nicht gehört. Es sind überwiegend Menschen die alles aufgegeben gaben oder müsse um am Leben zu bleiben. Da kratzt die ganze Familie ihr Geld zusammen um wenigstens einem ihrer Kinder das Leben zu retten. Diese Menschen haben nichts mehr außer das was sie am Leibe tragen. Jeder von euch kann sich essen und Wohnung in vernünftigen Maße leisten und kaufen. Ich bestreite nicht das es für so manchen nicht auch schwer ist mit allem klar zu kommen aber wenn ihr flüchten müsstet wärt auch ihr froh in einem Land wie Deutschland unter zu kommen. Wir sind eines der wirtschaftsstärksten Ländern der Welt und den schwachen verpflichtet. Wer auch nur ein Leben rettet, rettet die ganze Welt. Diese Leute flüchten damit sie am nächsten Tag noch einen Kopf haben und ihr stört euch daran das die Butter wieder mal 0,5€ teurer geworden ist und ihr denkt ihr könntet euch das jetzt nicht mehr leisten.;nothing
876331022405322;Unser Land braucht nicht nur Leute die studieren!!!! Wir brauchen vor allem Menschen, welche mit ihren Händen arbeiten!!!! Oder glauben sie, dass sich ein sogenannter Akademiker morgens um 3Uhr an den Ofen stellt und Brötchen bäckt, ihr Auto repariert, oder ihre Wohnung renoviert?????????;nothing
1063510957020660;Sollen die sich doch alle gegenseitig abstechen......;nothing
1052782481426841;Was soll eine Antifa allein auf der Straße? Wem sollen die Dummköpfe dann anpöbeln?;nothing
1011297235575366;Wenn Sie meinen Herr Bue. Sie scheinen ja genau zu wissen wie die meissten denken. Andersherum finde ICH es dann ein starkes Stück dass Sie mit Ihrer Meinung ableiten, dass die meissten so denken wie Sie!!!;nothing
862018977169860;Wieso neu anmelden, bin ja nicht gesperrt?;nothing
1134124253292663;Mein tochter hat einen kennegelernt er hat jetzt auch zwei blaue augen :D;nothing
977027702335653;https://www.facebook.com/noszkurwamac/videos/10156446888640206/ So ist in Ungarische Bahnhof;nothing
1012355518802871;Salafistische bartpflegeprodukte. ?  Is das nich ne arschhaarkur. ?;nothing
1069521949752894;Edward Jokop Sie haben vllt vergessen, dass Tillich schon seit 2009 im Amt ist - also wiedergewählt. Ihre Äußerungen sind dahingehend völlig verwirrend.;nothing
985372684834488;Siggi Du bist spitze **Danke** (Y) (Y) (Y) (Y);nothing
1038631092841980;https://www.youtube.com/watch?v=-hB5cJf9c2U&feature=share;nothing
983094425062314;Die sehen mir auch alle so stark traumatisierte aus ??;nothing
1134432016595220;Naaah, ich weiss ja nicht. ...so wie die ausschaut ist die schon längst verdorben :/;nothing
945355532169537;"das Stupide an diesen Kundgebungen ist, daß sie nicht gegen ""Nazis"" sondern gegen alles sind was diesen linken Faschisten nicht paßt !";nothing
1056476214390801;Über diese Bauchtanz Truppe brauch man nicht mehr sprechen!!!;nothing
989390641099359;Bin seit 10 Jahren in Canada und keiner von den Canadians die ich kenne hat jemals von PEGIDA gehört;nothing
