id;description;C2A
982640125107744;Das sind unsere Facharbeiter und Ärzte !!! Na Mahlzeit;FALSE
1012237782147978;Man kann den Dünnschiss nicht mehr ersehen!;FALSE
1010223125682777;Hut ab, Frau Festerling! Ich unterschreibe jeden Ihrer Punkte! Im Bezug auf uns Deutschen, wären diese sogar Gesetzeskonform!;FALSE
876541075717650;Tod nach german;FALSE
1035119656526457;Ich verneige mich;FALSE
991236224248134;Gibt,s einen Live Stream??;FALSE
1096058453765910;schau Dir die Kinder an. Die werden benutzt! Die sollte man rausholen, aber die Eltern dort lassen;TRUE
882940931744331;Die typische Zensur bei uns in der Buntland Diktatur: https://www.youtube.com/watch?v=bFOtgXY81XQ&app=desktop;FALSE
855268047844953;Alles Pinats demgegen über was noch alles auf uns zukommen wird ! Wacht auf informiert euch im Net.,nicht in der Lügenpresse und den ``guten und fair berichteten ``Medien. ( Es darf gelacht werden) Den Wetterbericht und Sportnachrichten ja , ansonsten nein ! ! ! Der Tag wird kommen an dem wir uns Lutz in tausendfacher Ausführung wünschen ! ! ! Aber ist ja alles nicht wahr was PEGIDA fordert .;TRUE
1134165359955219;"Nicht nur bei Arabern gilt: ""Autoritäres Verhalten des hierarchisch Höherstehenden zeigt Stärke, dem Respekt entgegengebracht wird. Nicht autoritäres Verhalten zeigt Schwäche und wird deshalb verachtet oder ausgenutzt."" Das ist auch in vielen osteuropäischen Ländern, Turkvölkern, vielen afrikanischen und asiatischen Ländern, im Grunde in fast allen Ländern, ausser den westlichen.";FALSE
861945217177236;Für schlichte Charaktere gibt's halt die Simpsons...;FALSE
1063779086993847;Sie können zudem auch noch klatschen und Rosen verschenken-ist doch auch was??;FALSE
1134140109957744;habe ich und ... naja... es war kein gutes erlebnis!!!!;FALSE
982817155090041;Sabrina...Es gab auch viele Kinder die unter dem Reizgas gelitten haben! Auch Mütter die interviewt wurden, welche gesagt haben, nehmt doch bitte meine Kinder und nehmt sie mit in Sicherheit, dann gehe ich auch freiwillig zurück nach Syrien! Das was dort passiert, ist nicht ein Problem der Flüchtlinge, sondern ein Problem der europäischen/deutschen Politik!;FALSE
882737298431361;"man kann in marokko durchaus politisch verfolgt sein.
es genuegt, den koenig zu beleidigen oder einer islamistisch-radikalen gruppe anzugehoeren.
ersteres ist eine straftat, wie in anderen, demokratischen, laendern auch und im zweiten fall muss man sich schon sehr weit aus dem fenster lehnen.
es duerften wohl im ganzen land so 500 bis 1000 menschen sein, die gruende haetten, asyl bei uns zu beantragen.
auf keinen fall die zehntausende welche man in ganz europa finden kann.
allerdings findet man gerade bei marokkanern den familieneffekt --- es leben schon hunderttausende legal in europa. es ist also fuer andere leicht, sich heimisch zu fuehlen in dieser etablierten gemeinschaft.";FALSE
1063781233660299;nein Karsten Ebert. 100.000 von Rentnern kamen  90 aus der Täterä und für die zahlen wir freiwillig. Die haben 40 Jahre an gleichen Autos gebastelt und einen nutzlosen Antifa-Schutzwall hochgezogen. Keinen Pfenning ins Rentensystem bezahlt. Und jetzt bezahle ich auch noch für nen DDR- Pfarrer (jetzt Präsident), der 1989 mit WIR SIND DAS VOLK spazieren gegangen ist.  Sinnvoll wäre es Ihr würdet anpacken und nicht Montags spazieren gehen. Dann wär der Soli längst weg. 1949 hattet Ihr noch Ziele und wirkliche Ideale:  Freie Deutsche Jugend baut auf. Auferstanden aus Ruinen und der Zukunft zugewandt. Und: Niewieder Faschismus, Rassismus und Krieg. Jetzt fühlt ihr Euch als Opfer und brüllt gegen Minderheiten. Alle Welt sehnt sich nach Frieden reicht den Völkern unsere Hand !!! Wenn wir brüderlich uns einen schlagen wir des Volkes Feind !!;TRUE
1065818066789949;Gehirnwäsche triffts wohl eher;FALSE
