id;description;VIO
1096028327102256;wenn es denen nicht passt: raus mit den flüchtlinge. (ausweisen) hier her kommen und demonstrieren Raus damit!!!;FALSE
876327089072382;Deutsche werden weniger, dafür Deutschland Bunter? Man kann wohl alles schön reden... eine schande!;FALSE
882678818437209;"Unser Auslandskorrespondent Hung Nong bestätigte, dass heute am 18. mai 2007 um 9:31 Uhr MEZ ein Sack Reis (Basmati) in der Provinz Guangdong umgefallen ist. Menschen kamen dabei nicht zu Schaden, allerdings wurde eine trächtige eierlegende Wollmilchsau verletzt. 

Die Börse reagierte prompt. So fällt der Preis von Basmati-Reis seitdem kontinuierlich. “Das Risiko weiterer Umfälle ist uns zu groß, da ziehen wir lieber den Schwanz ein und setzen auf Kartoffeln”, beschreibt der Börsianer John McLoore das Vorgehen. Die Regierung ergriff bereits erste Präventivmaßnahmen und gab Sack-Airbags in Auftrag. Staatsoberhaupt Hu Jintao erklärte den Vorfall zur Chefsache.
Verschwörungstheoretiker vermuten die Illuminaten hinter dem Ereignis. Ihrer Ansicht nach würde ein Sack niemals von selbst umfallen, dies sei den Säcken und ihrer Statik inhärent. Es ginge um wirtschaftliche Interessen, und zwar darum die einstigen Kommunisten noch einmal ordentlich bluten zu lassen. Das Hauptquartier der Illuminaten in Washington stritt alle Vorwürfe ab und verwies auf das Pentagon, das auch zu keiner Auskunft bereit war. 

Der umgefallene Sack enthielt 23 Kilo Basmati-Reis und sollte fünf Stunden nach seinem Umfall mit einem Schiff nach Europa transportiert werden. Die Polizei riegelte inzwischen die Umfallstelle ab, zahlreiche Wissenschaftler wurden einberufen. Experten gehen davon aus, dass es nicht zu diesem Zwischenfall gekommen wäre, hätte ein Unwetter die Ernte zerstört. Zuletzt fiel 1867 ein Sack Reis in China um, als ein kleiner Junge über ihn stolperte";FALSE
1043827455655677;Hat jemand gerade den Schauspieler Axel Milberg bei Lanz gesehen wie der sich aufgeregt hat wegen der Mistgabel. So ein Blödmann!;FALSE
876291782409246;Diesen Eindruck vermitteln nur unsere Politiker und Doofmenschen;FALSE
877198345651923;Ach ja? dann schau dich mal in der Pflege um: Keiner will den Beruf machen. Ist ja zu anstrengend! Oder kontinuierliches Schichtsystem...will auch kaum jemand ! Stellen sind genug da!!! Desweieteren: Alle berufstätigen  Ausländer zahlen in unsere Kasse ein! Nur mal so zur Info!;FALSE
982639441774479;Gewalt erzeugt immer Gegengewalt;TRUE
1063617987009957;Solange kein unschuldiger Deutscher das Opfer ist oder mal wieder eine unschuldige deutsche Frau angegrapscht oder gar vergewaltigt wird, sollen die von mir aus unter sich machen, was sie möchten. Wenn sie so assozial sind, und sich lieber abstechen, als vernünftig miteinander zu reden, juckt mich das wenig, wenn ich ehrlich bin!;TRUE
982779715093785;die ungarische polizei tut das, was die deutsche polizei nicht ( mehr) kann oder besser gesagt nicht darf :  ihre grenzen schützen !!;FALSE
1105667946138294;Jede Wette, ganz bestimmt nicht in Dresden. Die Mehrheit will das nicht, passt nicht hierher. Wäre grauenvoll, wenn wir erleben müssten wenn 4x täglich so ein Kasper vom Minarett runterschreit. Für die 40 Hansels völlig überzogen. Auch ein Bürgerentscheid würde dies schon klarstellen.;FALSE
855002017871556;"Wenn Lutz zurückgetreten ist & jetzt rauskommt, dass der Asylbewerber in Dresden von seinem Mitbewohner ermordet wurde - treten die Chefredakteure & Parteibosse der großen Zeitungen & Parteien jetzt auch zurück? :P Immerhin tragen die doch viel mehr Verantwortung als so ein kleiner Wicht? ;) #Lügenpresse";FALSE
1111327558905666;1a?? die Änderung noch schnell in ihrem Land verbreiten und wir haben schnellstens wieder Ruhe hier????;FALSE
1013192185385871;und wieder gelöscht;FALSE
861940373844387;Macht unbedingt weiter??;FALSE
1111582802213475;Sobald einer von denen dann doch mit Bargeld hantiert soll er genauestens überprüft werden!;FALSE
1056729527698803;Auf gar keinen Fall wähle ich diese Marionetten!!!!;FALSE
1064313213607101;Weiter so!!! Ich hoffe, daß wenigstens der Ostteil Berlins irgendwann mit zieht!;FALSE
1095918937113195;Thomas ,  haben  Sie  noch  nicht  begriffen , kinder als  Schild   . Und  Ihre  zweite  Satz  ist  zum denken , Kindern  werden   von Eltern  erzogen .;FALSE
989258864445870;War nur die letzten vierzehn Jahre dabei, aber so schlimm wie jetzt wars definitiv nicht. Sagt meine Nachbarin auch und die ist achtzig! :);FALSE
